cell,阶段,ACLY,ACTB,CD24,POU5F1,HSPA8,EEF2,TUBB2B,ACTG1,TMSB4X,LAPTM4B,SCD,OAZ1
ACLY扰动_5,   差值 ②-①,0.1082,-0.757,1.0327,-0.0422,-1.3602,-0.5522,-0.2684,0.1326,-0.1532,-0.3168,-0.8653,0.3323
ACLY扰动_6,① 预测前(模板占位),3.6889,6.1883,5.323,5.3279,5.1761,5.4072,5.2679,5.4072,5.2095,5.0434,4.7449,5.0626
ACLY扰动_6,② 预测后(模型输出),2.8457,6.224,5.7948,4.2438,5.1284,5.7812,4.1248,5.4329,4.6442,3.7097,4.8673,5.2524
ACLY扰动_6,   差值 ②-①,-0.8432,0.0357,0.4718,-1.0841,-0.0477,0.3741,-1.1431,0.0258,-0.5653,-1.3337,0.1223,0.1898
non-targeting对照_1,① 预测前(模板占位),2.3979,5.9661,5.3799,5.0626,4.625,4.7362,4.654,4.5218,4.5218,4.8442,3.912,4.6052
non-targeting对照_1,② 预测后(模型输出),2.5275,4.4589,5.2703,4.2698,3.1223,3.8765,4.0442,4.5336,3.4858,3.8351,3.7738,4.1928
non-targeting对照_1,   差值 ②-①,0.1296,-1.5072,-0.1096,-0.7928,-1.5027,-0.8597,-0.6098,0.0118,-1.036,-1.0091,-0.1382,-0.4124
non-targeting对照_2,① 预测前(模板占位),3.4657,6.525,5.6971,5.5568,6.1003,5.2933,5.4293,5.5413,5.124,5.3706,4.9836,5.1059
non-targeting对照_2,② 预测后(模型输出),2.0868,4.1235,4.926,4.9558,4.5912,3.9096,3.8599,4.0005,3.3295,4.2623,3.8066,4.7094
non-targeting对照_2,   差值 ②-①,-1.3789,-2.4015,-0.7711,-0.601,-1.5091,-1.3837,-1.5694,-1.5407,-1.7945,-1.1083,-1.177,-0.3965
non-targeting对照_3,① 预测前(模板占位),2.7081,5.7777,5.3423,4.8978,3.7377,4.804,4.5539,4.8828,4.3307,4.4543,4.5109,4.8903
non-targeting对照_3,② 预测后(模型输出),2.9109,4.8292,5.3351,5.4598,3.5935,4.456,4.8911,5.3479,4.5022,4.1896,3.9354,4.5231
non-targeting对照_3,   差值 ②-①,0.2029,-0.9484,-0.0073,0.562,-0.1442,-0.348,0.3373,0.4651,0.1715,-0.2647,-0.5755,-0.3672
non-targeting对照_4,① 预测前(模板占位),2.3026,4.852,4.1744,3.8067,3.0445,4.3041,4.0604,3.5264,3.9703,3.989,4.585,3.8501
non-targeting对照_4,② 预测后(模型输出),2.4838,6.1155,4.8611,5.1396,4.1819,4.7404,4.9323,4.6883,4.7337,5.24,5.0548,5.4767
non-targeting对照_4,   差值 ②-①,0.1812,1.2634,0.6867,1.333,1.1374,0.4364,0.8719,1.162,0.7634,1.251,0.4698,1.6266
non-targeting对照_5,① 预测前(模板占位),3.3322,6.319,5.9636,5.2311,5.5683,5.1475,5.0304,4.7791,5.2204,4.7185,4.7791,4.9273
non-targeting对照_5,② 预测后(模型输出),3.8103,6.2937,5.3413,4.1455,5.7791,5.4843,4.4594,5.4947,5.6182,4.9283,4.2238,5.4703
non-targeting对照_5,   差值 ②-①,0.4781,-0.0253,-0.6223,-1.0856,0.2107,0.3368,-0.571,0.7156,0.3979,0.2098,-0.5553,0.543
non-targeting对照_6,① 预测前(模板占位),3.434,6.1759,5.6021,5.2364,5.1874,4.8442,4.654,4.852,5.193,4.7185,4.7875,5.0106
non-targeting对照_6,② 预测后(模型输出),2.6501,5.023,4.9462,4.7094,3.6263,4.0551,4.0092,4.6387,3.7013,4.0706,3.8911,4.08
non-targeting对照_6,   差值 ②-①,-0.7838,-1.1529,-0.656,-0.527,-1.5611,-0.7891,-0.6447,-0.2133,-1.4917,-0.6479,-0.8964,-0.9306
