cell,gene,log1p值,还原成UMI计数
cell_1,FBLIM1,0.6931,1
cell_1,SPEN,1.6094,4
cell_1,FBXO42,0.6931,1
cell_1,SZRD1,1.9459,6
cell_1,NECAP2,1.0986,2
cell_1,CROCC,1.6094,4
cell_1,MFAP2,3.0445,20
cell_1,ATP13A2,0.6931,1
cell_1,SDHB,2.0794,7
cell_1,RCC2,1.9459,6
cell_1,ARHGEF10L,0.6931,1
cell_1,IGSF21,2.1972,8
cell_1,KLHDC7A,0.6931,1
cell_2,NOC2L,0.6931,1
cell_2,AGRN,0.6931,1
cell_2,SDF4,1.9459,6
cell_2,UBE2J2,1.6094,4
cell_2,PUSL1,0.6931,1
cell_2,INTS11,1.0986,2
cell_2,DVL1,0.6931,1
cell_2,MXRA8,0.6931,1
cell_2,AURKAIP1,1.0986,2
cell_2,CCNL2,1.9459,6
cell_2,ATAD3A,0.6931,1
cell_2,TMEM240,0.6931,1
cell_2,SSU72,1.9459,6
cell_2,FNDC10,0.6931,1
cell_2,CDK11B,1.0986,2
cell_2,NADK,0.6931,1
cell_2,GNB1,0.6931,1
cell_2,TMEM52,1.3863,3
cell_2,PRKCZ,1.6094,4
cell_2,SKI,1.3863,3
cell_2,RER1,2.3026,9
cell_2,PANK4,0.6931,1
cell_2,MEGF6,1.0986,2
cell_2,WRAP73,0.6931,1
cell_2,LRRC47,1.7918,5
cell_2,C1orf174,0.6931,1
cell_2,ICMT,2.1972,8
cell_2,ACOT7,0.6931,1
cell_2,PLEKHG5,1.0986,2
cell_2,NOL9,0.6931,1
cell_2,ZBTB48,0.6931,1
cell_2,KLHL21,1.0986,2
cell_2,DNAJC11,1.9459,6
cell_2,CAMTA1,2.0794,7
cell_2,VAMP3,0.6931,1
cell_2,ERRFI1,0.6931,1
cell_2,RERE,1.9459,6
cell_2,ENO1,2.9444,18
cell_2,SLC25A33,1.3863,3
cell_2,TMEM201,1.0986,2
cell_2,CLSTN1,1.9459,6
cell_2,CTNNBIP1,0.6931,1
cell_2,LZIC,1.6094,4
cell_2,UBE4B,0.6931,1
cell_2,KIF1B,2.0794,7
cell_2,PGD,0.6931,1
cell_2,DFFA,1.3863,3
cell_2,SRM,2.3979,10
cell_2,EXOSC10,1.3863,3
cell_2,MTOR,1.7918,5
cell_2,FBXO44,0.6931,1
cell_2,MAD2L2,3.0445,20
cell_2,DRAXIN,0.6931,1
cell_2,AGTRAP,1.3863,3
cell_2,MTHFR,1.0986,2
cell_2,KIAA2013,0.6931,1
cell_2,MFN2,0.6931,1
cell_2,TNFRSF8,0.6931,1
cell_2,VPS13D,0.6931,1
cell_2,PDPN,1.6094,4
cell_2,CASP9,0.6931,1
cell_2,AGMAT,1.0986,2
cell_2,DDI2,0.6931,1
cell_2,PLEKHM2,0.6931,1
cell_2,SPEN,0.6931,1
cell_2,ARHGEF19,0.6931,1
cell_2,FBXO42,0.6931,1
cell_2,SZRD1,1.9459,6
cell_2,MFAP2,1.6094,4
cell_2,ATP13A2,0.6931,1
cell_2,SDHB,1.9459,6
cell_2,RCC2,1.0986,2
cell_2,ARHGEF10L,1.0986,2
cell_2,ACTL8,0.6931,1
cell_2,KLHDC7A,0.6931,1
cell_2,ALDH4A1,0.6931,1
cell_2,UBR4,2.3979,10
cell_2,EMC1,0.6931,1
cell_2,MRTO4,1.0986,2
cell_2,SLC66A1,0.6931,1
cell_2,CAPZB,1.3863,3
cell_2,MICOS10,1.9459,6
cell_2,NBL1,1.0986,2
cell_2,OTUD3,0.6931,1
cell_2,UBXN10,0.6931,1
cell_2,MUL1,1.0986,2
cell_2,CDA,0.6931,1
cell_2,PINK1,0.6931,1
cell_2,DDOST,0.6931,1
cell_2,KIF17,1.0986,2
cell_3,NOC2L,0.6931,1
cell_3,ISG15,1.6094,4
cell_3,AGRN,1.9459,6
cell_3,C1orf159,0.6931,1
cell_3,SDF4,2.7081,14
cell_3,B3GALT6,0.6931,1
cell_3,UBE2J2,2.7081,14
cell_3,ACAP3,1.0986,2
cell_3,PUSL1,1.7918,5
cell_3,INTS11,1.7918,5
cell_3,CPTP,1.0986,2
cell_3,DVL1,1.3863,3
cell_3,MXRA8,1.0986,2
cell_3,AURKAIP1,1.6094,4
cell_3,CCNL2,2.3979,10
cell_3,VWA1,1.6094,4
cell_3,ATAD3B,2.0794,7
cell_3,ATAD3A,2.1972,8
cell_3,TMEM240,1.0986,2
cell_3,SSU72,2.7726,15
cell_3,MIB2,0.6931,1
cell_3,CDK11B,2.0794,7
cell_3,NADK,2.1972,8
cell_3,GNB1,1.9459,6
cell_3,PRKCZ,1.9459,6
cell_3,SKI,2.8332,16
cell_3,RER1,3.2958,26
cell_3,PANK4,1.0986,2
cell_3,ARHGEF16,1.0986,2
cell_3,MEGF6,1.3863,3
cell_3,TPRG1L,1.6094,4
cell_3,LRRC47,2.7081,14
cell_3,CEP104,1.6094,4
cell_3,C1orf174,2.3026,9
cell_3,AJAP1,1.0986,2
cell_3,NPHP4,1.3863,3
cell_3,KCNAB2,0.6931,1
cell_3,ICMT,2.6391,13
cell_3,ACOT7,2.0794,7
cell_3,NOL9,1.0986,2
cell_3,ZBTB48,1.3863,3
cell_3,KLHL21,1.3863,3
cell_3,PHF13,2.3026,9
cell_3,THAP3,1.3863,3
cell_3,DNAJC11,2.5649,12
cell_3,CAMTA1,2.8332,16
cell_3,VAMP3,1.7918,5
cell_3,PER3,0.6931,1
cell_3,ERRFI1,2.9444,18
cell_3,RERE,3.4965,32
cell_3,ENO1,4.3175,74
cell_3,GPR157,0.6931,1
cell_3,SLC25A33,2.3026,9
cell_3,TMEM201,1.6094,4
cell_3,CLSTN1,1.3863,3
cell_3,CTNNBIP1,2.4849,11
cell_3,LZIC,2.3979,10
cell_3,UBE4B,2.1972,8
cell_3,KIF1B,2.7726,15
cell_3,PGD,2.7081,14
cell_3,CENPS,1.9459,6
cell_3,DFFA,2.3026,9
cell_3,PEX14,0.6931,1
cell_3,C1orf127,0.6931,1
cell_3,SRM,3.5264,33
cell_3,EXOSC10,2.1972,8
cell_3,MTOR,2.0794,7
cell_3,FBXO2,1.3863,3
cell_3,FBXO44,0.6931,1
cell_3,MAD2L2,4.5433,93
cell_3,DRAXIN,2.1972,8
cell_3,AGTRAP,2.8332,16
cell_3,MTHFR,1.0986,2
cell_3,CLCN6,1.3863,3
cell_3,KIAA2013,2.3979,10
cell_3,PLOD1,1.3863,3
cell_3,MFN2,1.6094,4
cell_3,MIIP,2.0794,7
cell_3,TNFRSF8,1.3863,3
cell_3,VPS13D,1.0986,2
cell_3,DHRS3,1.9459,6
cell_3,PDPN,3.2581,25
cell_3,PRDM2,0.6931,1
cell_3,FHAD1,0.6931,1
cell_3,EFHD2,2.3026,9
cell_3,CASP9,1.0986,2
cell_3,DNAJC16,0.6931,1
cell_3,AGMAT,1.6094,4
cell_3,DDI2,2.1972,8
cell_3,PLEKHM2,1.6094,4
cell_4,NOC2L,0.6931,1
cell_4,ISG15,1.0986,2
cell_4,AGRN,2.1972,8
cell_4,C1orf159,0.6931,1
cell_4,SDF4,2.1972,8
cell_4,UBE2J2,1.9459,6
cell_4,PUSL1,1.3863,3
cell_4,INTS11,1.9459,6
cell_4,DVL1,1.6094,4
cell_4,AURKAIP1,1.6094,4
cell_4,CCNL2,2.7081,14
cell_4,ATAD3B,0.6931,1
cell_4,ATAD3A,1.6094,4
cell_4,SSU72,2.1972,8
cell_4,CDK11B,1.6094,4
cell_4,NADK,0.6931,1
cell_4,PRKCZ,1.0986,2
cell_4,FAAP20,0.6931,1
cell_4,SKI,2.3026,9
cell_4,RER1,2.7726,15
cell_4,ARHGEF16,0.6931,1
cell_4,WRAP73,1.0986,2
cell_4,LRRC47,1.0986,2
cell_4,CEP104,0.6931,1
cell_4,C1orf174,2.0794,7
cell_4,AJAP1,1.0986,2
cell_4,KCNAB2,0.6931,1
cell_4,ICMT,2.4849,11
cell_4,ACOT7,1.6094,4
cell_4,TNFRSF25,1.3863,3
cell_4,PLEKHG5,0.6931,1
cell_4,KLHL21,1.0986,2
cell_4,PHF13,1.0986,2
cell_4,THAP3,1.0986,2
cell_4,DNAJC11,2.3026,9
cell_4,CAMTA1,2.4849,11
cell_4,VAMP3,1.7918,5
cell_4,PER3,1.0986,2
cell_4,ERRFI1,2.3979,10
cell_4,RERE,3.2189,24
cell_4,ENO1,3.4965,32
cell_4,SLC25A33,1.7918,5
cell_4,TMEM201,1.9459,6
cell_4,PIK3CD,0.6931,1
cell_4,CLSTN1,1.9459,6
cell_4,CTNNBIP1,1.6094,4
cell_4,LZIC,1.9459,6
cell_4,NMNAT1,0.6931,1
cell_4,RBP7,1.0986,2
cell_4,UBE4B,0.6931,1
cell_4,KIF1B,1.9459,6
cell_4,PGD,1.0986,2
cell_4,CENPS,1.0986,2
cell_4,DFFA,2.4849,11
cell_4,CASZ1,0.6931,1
cell_4,SRM,2.9957,19
cell_4,EXOSC10,1.6094,4
cell_4,MTOR,1.9459,6
cell_4,FBXO2,0.6931,1
cell_4,FBXO44,0.6931,1
cell_4,MAD2L2,3.7842,43
cell_4,DRAXIN,1.3863,3
cell_4,AGTRAP,1.6094,4
cell_4,MTHFR,0.6931,1
cell_4,KIAA2013,2.0794,7
cell_4,PLOD1,1.6094,4
cell_4,MIIP,1.0986,2
cell_4,TNFRSF8,0.6931,1
cell_4,VPS13D,0.6931,1
cell_4,DHRS3,1.3863,3
cell_4,PDPN,2.7726,15
cell_4,PRDM2,0.6931,1
cell_4,EFHD2,1.9459,6
cell_4,DNAJC16,0.6931,1
cell_4,AGMAT,0.6931,1
cell_4,DDI2,1.0986,2
cell_4,PLEKHM2,0.6931,1
cell_4,FBLIM1,0.6931,1
cell_4,SPEN,2.0794,7
cell_4,ZBTB17,1.3863,3
cell_4,EPHA2,0.6931,1
cell_4,ARHGEF19,1.0986,2
cell_4,SZRD1,1.7918,5
cell_4,NECAP2,1.3863,3
cell_4,CROCC,1.7918,5
cell_4,MFAP2,2.9444,18
cell_4,ATP13A2,1.3863,3
cell_4,SDHB,2.4849,11
cell_4,RCC2,1.6094,4
cell_4,ARHGEF10L,0.6931,1
cell_5,AGRN,1.0986,2
cell_5,SDF4,1.9459,6
cell_5,UBE2J2,1.7918,5
cell_5,INTS11,0.6931,1
cell_5,DVL1,0.6931,1
cell_5,AURKAIP1,1.3863,3
cell_5,CCNL2,2.0794,7
cell_5,ATAD3B,0.6931,1
cell_5,SSU72,2.4849,11
cell_5,FNDC10,0.6931,1
cell_5,CDK11B,1.0986,2
cell_5,NADK,1.3863,3
cell_5,GNB1,1.0986,2
cell_5,CALML6,0.6931,1
cell_5,TMEM52,1.0986,2
cell_5,GABRD,0.6931,1
cell_5,PRKCZ,1.3863,3
cell_5,FAAP20,0.6931,1
cell_5,SKI,1.7918,5
cell_5,RER1,2.5649,12
cell_5,PEX10,0.6931,1
cell_5,PANK4,0.6931,1
cell_5,TPRG1L,1.0986,2
cell_5,LRRC47,2.0794,7
cell_5,CEP104,1.3863,3
cell_5,C1orf174,0.6931,1
cell_5,ICMT,1.0986,2
cell_5,ACOT7,2.3979,10
cell_5,NOL9,0.6931,1
cell_5,KLHL21,1.0986,2
cell_5,PHF13,1.6094,4
cell_5,THAP3,0.6931,1
cell_5,DNAJC11,2.4849,11
cell_5,CAMTA1,1.9459,6
cell_5,VAMP3,1.0986,2
cell_5,PER3,0.6931,1
cell_5,ERRFI1,1.7918,5
cell_5,RERE,2.7726,15
cell_5,ENO1,3.8067,44
cell_5,SLC25A33,1.7918,5
cell_5,TMEM201,1.7918,5
cell_5,PIK3CD,0.6931,1
cell_5,CTNNBIP1,2.0794,7
cell_5,LZIC,1.3863,3
cell_5,NMNAT1,0.6931,1
cell_5,RBP7,0.6931,1
cell_5,UBE4B,0.6931,1
cell_5,KIF1B,2.3026,9
cell_5,PGD,1.6094,4
cell_5,DFFA,2.0794,7
cell_5,CASZ1,0.6931,1
cell_5,C1orf127,0.6931,1
cell_5,SRM,3.0445,20
cell_5,EXOSC10,1.9459,6
cell_5,MTOR,2.1972,8
cell_5,FBXO2,1.0986,2
cell_5,FBXO44,1.0986,2
cell_5,MAD2L2,3.7377,41
cell_5,DRAXIN,1.7918,5
cell_5,AGTRAP,1.9459,6
cell_5,MTHFR,0.6931,1
cell_5,KIAA2013,1.3863,3
cell_5,PLOD1,0.6931,1
cell_5,MFN2,1.0986,2
cell_5,PDPN,2.3979,10
cell_5,PRDM2,0.6931,1
cell_5,EFHD2,1.6094,4
cell_5,DDI2,1.6094,4
cell_5,PLEKHM2,0.6931,1
cell_5,FBLIM1,0.6931,1
cell_5,SPEN,1.7918,5
cell_5,EPHA2,0.6931,1
cell_5,FBXO42,1.3863,3
cell_5,SZRD1,2.5649,12
cell_5,NECAP2,0.6931,1
cell_5,MFAP2,2.8332,16
cell_5,SDHB,2.4849,11
cell_5,RCC2,2.0794,7
cell_5,ARHGEF10L,0.6931,1
cell_5,IGSF21,1.0986,2
cell_5,KLHDC7A,0.6931,1
cell_5,UBR4,2.3979,10
cell_5,EMC1,1.0986,2
cell_5,SLC66A1,0.6931,1
cell_5,CAPZB,1.6094,4
cell_5,MICOS10,2.5649,12
cell_5,NBL1,0.6931,1
cell_5,OTUD3,0.6931,1
cell_5,MUL1,1.0986,2
cell_5,PINK1,1.3863,3
cell_6,NOC2L,0.6931,1
cell_6,AGRN,1.0986,2
cell_6,SDF4,0.6931,1
cell_6,UBE2J2,0.6931,1
cell_6,ACAP3,0.6931,1
cell_6,PUSL1,0.6931,1
cell_6,INTS11,1.0986,2
cell_6,AURKAIP1,0.6931,1
cell_6,CCNL2,1.7918,5
cell_6,ATAD3B,0.6931,1
cell_6,ATAD3A,0.6931,1
cell_6,SSU72,2.0794,7
cell_6,NADK,0.6931,1
cell_6,GNB1,0.6931,1
cell_6,PRKCZ,0.6931,1
cell_6,SKI,1.7918,5
cell_6,RER1,2.1972,8
cell_6,PEX10,0.6931,1
cell_6,PRXL2B,0.6931,1
cell_6,TP73,0.6931,1
cell_6,LRRC47,1.3863,3
cell_6,C1orf174,1.0986,2
cell_6,NPHP4,0.6931,1
cell_6,ICMT,1.0986,2
cell_6,ACOT7,1.0986,2
cell_6,PHF13,0.6931,1
cell_6,DNAJC11,1.0986,2
cell_6,CAMTA1,1.7918,5
cell_6,ERRFI1,1.7918,5
cell_6,RERE,1.0986,2
cell_6,ENO1,3.4012,29
cell_6,SLC25A33,1.6094,4
cell_6,TMEM201,0.6931,1
cell_6,PIK3CD,0.6931,1
cell_6,CLSTN1,0.6931,1
cell_6,CTNNBIP1,1.0986,2
cell_6,LZIC,1.0986,2
cell_6,UBE4B,1.3863,3
cell_6,KIF1B,2.3026,9
cell_6,PGD,1.0986,2
cell_6,CENPS,1.3863,3
cell_6,DFFA,1.0986,2
cell_6,SRM,2.0794,7
cell_6,EXOSC10,0.6931,1
cell_6,MTOR,1.3863,3
cell_6,FBXO44,1.0986,2
cell_6,FBXO6,0.6931,1
cell_6,MAD2L2,2.7081,14
cell_6,AGTRAP,1.3863,3
cell_6,MTHFR,0.6931,1
cell_6,CLCN6,0.6931,1
cell_6,KIAA2013,1.0986,2
cell_6,VPS13D,0.6931,1
cell_6,PDPN,1.3863,3
cell_6,CASP9,0.6931,1
cell_6,PLEKHM2,1.0986,2
cell_6,FBLIM1,0.6931,1
cell_6,SPEN,0.6931,1
cell_6,EPHA2,0.6931,1
cell_6,FBXO42,0.6931,1
cell_6,SZRD1,0.6931,1
cell_6,NECAP2,0.6931,1
cell_6,MFAP2,1.7918,5
cell_6,SDHB,1.6094,4
cell_6,ACTL8,0.6931,1
cell_6,IGSF21,0.6931,1
cell_6,ALDH4A1,0.6931,1
cell_6,UBR4,2.0794,7
cell_6,EMC1,1.0986,2
cell_6,AKR7A2,1.0986,2
cell_6,CAPZB,1.6094,4
cell_6,MICOS10,2.0794,7
cell_6,MUL1,0.6931,1
cell_6,PINK1,1.3863,3
cell_6,DDOST,1.0986,2
cell_6,KIF17,0.6931,1
cell_6,HP1BP3,1.0986,2
cell_6,EIF4G3,0.6931,1
cell_6,ECE1,1.0986,2
cell_6,ALPL,2.3979,10
cell_6,USP48,1.7918,5
cell_6,KDM1A,2.9444,18
cell_6,LUZP1,1.0986,2
cell_6,HNRNPR,0.6931,1
cell_6,ID3,0.6931,1
cell_6,ELOA,1.6094,4
cell_6,HMGCL,1.0986,2
cell_6,PNRC2,1.0986,2
cell_6,SRSF10,0.6931,1
cell_6,SRRM1,0.6931,1
