cell,group,TMSB4X,ACTB,CD24,POU5F1,OAZ1,EEF2,HSPA8,ACTG1,TUBB2B,LDHB,LIN28A,LAPTM4B,HNRNPA2B1,SCD,L1TD1,CLDN6,SLC16A1,DNMT3B,HSPD1,MIF,HSP90AA1,FADS2,SFRP1,HELLS,GJA1,YBX1,ENAH,HIST1H1B,NDUFA4,SEPHS1,CFL1,MAD2L2,EEF1G,SNRPN,SELENOH,ITM2C,NACC1,PODXL,MGST1,ENO1
TMSB4X_pert_11,TMSB4X被敲低(实测数据),0.0,5.3706,4.6913,4.6444,4.1271,4.2485,4.585,3.6889,3.7612,3.7612,3.6636,3.7377,4.0254,3.1781,3.6109,2.9957,3.4657,3.4965,3.5835,3.5264,3.4657,3.5835,3.091,2.7726,3.6376,3.3322,3.2189,1.9459,3.434,3.1781,3.2581,3.7136,3.2581,2.9444,2.8332,3.1781,2.9957,2.9957,3.2189,2.8904
TMSB4X_pert_12,TMSB4X被敲低(实测数据),1.0986,5.9189,5.1591,5.0304,5.0999,5.0434,4.7536,4.654,4.6347,4.1431,4.625,4.4886,4.4188,4.1897,4.5747,4.2341,4.3567,4.0775,4.3041,3.8286,4.3041,4.0254,3.7136,3.9318,3.8712,4.1589,4.1109,5.0814,4.0775,3.8067,4.1109,3.6636,4.0431,4.2341,3.8067,4.2627,4.2195,3.6376,3.8918,3.8286
control_1,对照(non-targeting),4.3567,6.2691,5.3936,5.0999,4.9558,4.9698,4.5539,4.9053,4.5539,4.8675,4.7536,4.7005,4.852,4.2627,4.4427,4.6444,4.625,4.6151,4.1109,4.2767,4.4427,3.989,4.4427,4.1109,4.2047,4.2627,4.2767,3.3322,4.2767,3.912,4.2905,4.2485,4.1109,4.3438,4.2905,4.2905,4.1109,3.9703,4.0073,4.1897
control_2,对照(non-targeting),4.7791,5.8972,5.2523,4.7958,4.625,4.7875,5.2523,4.7536,4.6728,4.5218,4.5109,4.1109,4.2341,4.3694,3.8712,4.4067,4.2341,3.9318,3.8918,3.989,4.4308,3.3673,4.2195,3.6636,4.1431,3.912,3.7612,2.7726,3.8286,3.4657,3.9318,3.6636,3.8918,3.7377,4.2627,4.0254,3.9512,3.3322,3.7136,3.5835
control_3,对照(non-targeting),5.124,6.3509,5.5984,5.3033,5.2679,4.9904,4.4773,5.1648,4.8598,4.9053,4.8675,4.654,4.4067,4.5643,4.654,4.3438,4.2905,4.2341,4.2047,4.5326,4.3041,4.382,4.4998,4.2485,3.9318,4.2485,4.2485,5.6312,4.2627,4.1744,4.3041,4.3041,4.2341,3.9512,4.0943,4.1431,4.0431,4.1271,4.1589,4.4308
control_4,对照(non-targeting),4.4188,5.4638,5.0814,4.7707,4.7095,4.6728,3.8501,4.0431,4.5433,4.3438,4.1109,4.2341,4.3438,3.434,3.7377,3.5553,3.4012,3.9512,3.2958,4.0604,3.4965,3.2958,4.0254,4.0943,3.5835,3.4965,4.0431,4.4998,3.7377,3.4012,3.5835,3.9512,3.7842,3.6889,3.7612,3.5553,3.5553,3.9318,3.6889,3.5835
control_5,对照(non-targeting),4.2047,5.4553,5.451,4.8203,4.5643,4.3944,4.5539,4.4067,4.7707,4.3694,3.9318,4.3041,3.9703,4.0604,3.9703,4.2627,3.9703,4.2905,3.6889,3.8501,3.8501,3.8286,3.091,4.2905,4.0431,3.8918,3.6889,4.7958,3.7377,4.4886,3.7377,3.7842,3.5553,3.7377,3.6376,4.0073,3.7612,3.7842,3.1781,3.8286
control_6,对照(non-targeting),4.7362,5.5835,4.2627,4.9416,4.5109,4.7185,4.7095,4.7095,4.7791,4.2341,4.6347,4.4188,4.6347,4.5218,4.3438,4.5326,4.6347,3.6889,4.3567,4.2195,3.8918,4.4886,4.2195,4.4188,3.7842,4.0604,4.1109,5.8551,3.8918,3.9703,4.1589,3.8712,4.0604,3.4657,3.7612,3.8067,3.8501,3.912,4.0943,4.1431
control_7,对照(non-targeting),4.3175,5.793,5.0173,4.654,4.1589,4.4998,4.5326,4.625,4.4773,4.3944,4.3041,4.1431,4.2627,4.2905,4.2905,4.1271,4.4886,3.989,3.989,3.5553,3.6376,4.1109,4.3175,3.8918,3.989,3.6636,3.9512,1.9459,3.8286,3.7842,3.7612,3.2189,3.7842,3.434,3.4012,3.5264,3.6889,4.0604,3.6376,3.6109
control_8,对照(non-targeting),4.6052,6.0403,5.1705,5.1985,4.7707,4.7958,4.382,4.9698,4.804,4.585,4.5643,4.7536,4.7622,4.2195,4.6052,4.1431,4.3041,4.5218,4.2195,4.3307,3.7377,4.2047,4.4427,4.1744,4.0073,4.0775,4.0775,5.6312,4.0775,4.382,4.4188,4.1897,4.0604,4.0073,4.2485,4.4067,4.0431,4.0073,4.1431,4.1271
control_9,对照(non-targeting),3.6376,5.4765,4.8675,4.5643,4.5433,4.1589,4.382,4.3944,4.2767,4.4543,4.1744,3.8712,3.8067,4.3041,4.2767,3.8501,3.2958,4.3041,3.2189,3.6636,3.4965,3.7136,3.5835,3.7612,3.6636,3.6376,3.3322,3.4657,3.6636,4.0431,3.091,3.6109,3.5835,3.7612,3.434,3.0445,3.5264,3.7136,3.434,3.8712
control_10,对照(non-targeting),4.625,5.5984,5.5053,4.92,4.5747,4.5326,4.8363,4.2905,4.1744,4.2767,4.3041,4.6444,4.0254,4.4067,4.3567,4.8752,4.2905,4.4308,3.9703,4.1431,3.912,3.9703,3.8712,4.1744,4.7185,3.7842,4.0775,2.7726,3.5553,3.989,3.912,4.0775,3.7377,3.6109,3.5835,4.1271,3.6109,3.7377,3.7377,3.5264
control_11,对照(non-targeting),5.1985,6.528,5.8435,5.5053,5.1358,5.2832,5.2883,5.4765,5.4972,5.1533,5.2204,5.0173,4.8283,4.8122,4.7449,4.6821,4.6052,4.8122,4.6052,4.5109,4.8363,4.1589,4.7622,4.2341,4.6052,4.8675,4.6444,3.7136,4.5109,4.585,4.4543,4.3438,4.4427,4.5109,4.4998,4.1109,4.4308,4.5433,4.4659,4.4188
control_12,对照(non-targeting),4.1431,5.2204,5.0499,4.3694,4.382,4.1271,3.6636,4.1744,3.8918,3.8712,4.2047,3.8918,3.8067,4.1897,3.6636,3.8286,3.6889,3.4012,3.4965,3.4012,3.7136,3.5553,3.8286,3.4657,3.4657,3.5835,3.4012,4.6444,3.3322,3.6109,2.6391,3.6376,2.9957,3.091,3.7136,3.3673,3.4012,2.9957,3.3673,3.5553
